TeamID,TeamName,TeamF
3101,Abilene Chr,Ablilene Chr.
3102,Air Force,Air Force
3103,Akron,Akron
3104,Alabama,Alabama
3105,Alabama A&M,Alabama A&M
3106,Alabama St,Alabama St
3107,SUNY Albany,SUNY Albany
3108,Alcorn St,Alcorn St
3109,Alliant Intl,Alliant Intl
3110,American Univ,American Univ
3111,Appalachian St,Appalachian St
3112,Arizona,Arizona
3113,Arizona St,Arizona St.
3114,Ark Little Rock,Ark.-LR
3115,Ark Pine Bluff,Ark Pine Bluff
3116,Arkansas,Arkansas
3117,Arkansas St,Arkansas St
3118,Armstrong St,Armstrong St
3119,Army,Army
3120,Auburn,Auburn
3121,Augusta,Augusta
3122,Austin Peay,Austin Peay
3123,Ball St,Ball St
3124,Baylor,Baylor
3125,Belmont,Belmont
3126,Bethune-Cookman,Beth.-Cook.
3127,Binghamton,Binghamton
3128,Birmingham So,Birmingham So
3129,Boise St,Boise State
3130,Boston College,Boston College
3131,Boston Univ,Boston Univ
3132,Bowling Green,Bowling Green
3133,Bradley,Bradley
3134,Brooklyn,Brooklyn
3135,Brown,Brown
3136,Bryant,Bryant
3137,Bucknell,Bucknell
3138,Buffalo,Buffalo
3139,Butler,Butler
3140,BYU,BYU
3141,C Michigan,Cen.Mich.
3142,Cal Poly,Cal Poly
3143,California,California
3144,Campbell,Campbell
3145,Canisius,Canisius
3146,Cent Arkansas,Cent Arkansas
3147,Centenary,Centenary
3148,Central Conn,Central Conn
3149,Charleston So,Charleston So
3150,Charlotte,Charlotte
3151,Chattanooga,Chattanooga
3152,Chicago St,Chicago St
3153,Cincinnati,Cincinnati
3155,Clemson,Clemson
3156,Cleveland St,Cleveland St
3157,Coastal Car,Coastal Car
3158,Col Charleston,Col Charleston
3159,Colgate,Colgate
3160,Colorado,Colorado
3161,Colorado St,Colorado St
3162,Columbia,Columbia
3163,Connecticut,UConn
3164,Coppin St,Coppin St
3165,Cornell,Cornell
3166,Creighton,Creighton
3167,CS Bakersfield,CS Bakersfield
3168,CS Fullerton,CS Fullerton
3169,CS Northridge,CS Northridge
3170,CS Sacramento,CS Sacramento
3171,Dartmouth,Dartmouth
3172,Davidson,Davidson
3173,Dayton,Dayton
3174,Delaware,Delaware
3175,Delaware St,Delaware St
3176,Denver,Denver
3177,DePaul,DePaul
3178,Detroit,Detroit
3179,Drake,Drake
3180,Drexel,Drexel
3181,Duke,Duke
3182,Duquesne,Duquesne
3183,E Illinois,E Illinois
3184,E Kentucky,E Kentucky
3185,E Michigan,E Michigan
3186,E Washington,E Washington
3187,East Carolina,East Carolina
3188,SIUE,SIUE
3189,Elon,Elon
3190,ETSU,ETSU
3191,Evansville,Evansville
3192,F Dickinson,F Dickinson
3193,Fairfield,Fairfield
3194,FL Atlantic,FL Atlantic
3195,FL Gulf Coast,FGCU
3196,Florida,Florida
3197,Florida A&M,Florida A&M
3198,Florida Intl,Florida Intl
3199,Florida St,Florida State
3200,Fordham,Fordham
3201,Fresno St,Fresno St
3202,Furman,Furman
3203,G Washington,G Washington
3204,Ga Southern,Ga Southern
3205,Gardner Webb,Gardner Webb
3206,George Mason,George Mason
3207,Georgetown,Georgetown
3208,Georgia,Georgia
3209,Georgia St,Georgia St
3210,Georgia Tech,Georgia Tech
3211,Gonzaga,Gonzaga
3212,Grambling,Grambling
3213,Grand Canyon,Grand Canyon
3214,Hampton,Hampton
3215,Hardin-Simmons,Hardin-Simmons
3216,Hartford,Hartford
3217,Harvard,Harvard
3218,Hawaii,Hawaii
3219,High Point,High Point
3220,Hofstra,Hofstra
3221,Holy Cross,Holy Cross
3222,Houston,Houston
3223,Houston Bap,Houston Bap
3224,Howard,Howard
3225,Idaho,Idaho
3226,Idaho St,Idaho St
3227,IL Chicago,IL Chicago
3228,Illinois,Illinois
3229,Illinois St,Illinois St
3230,Incarnate Word,Incarnate Word
3231,Indiana,Indiana
3232,Indiana St,Indiana St
3233,Iona,Iona
3234,Iowa,Iowa
3235,Iowa St,Iowa State
3236,PFW,PFW
3237,IUPUI,IUPUI
3238,Jackson St,Jackson St
3239,Jacksonville,Jacksonville
3240,Jacksonville St,Jacksonville St
3241,James Madison,James Madison
3242,Kansas,Kansas
3243,Kansas St,Kansas State
3244,Kennesaw,Kennesaw
3245,Kent,Kent
3246,Kentucky,Kentucky
3247,La Salle,La Salle
3248,Lafayette,Lafayette
3249,Lamar,Lamar
3250,Lehigh,Lehigh
3251,Liberty,Liberty
3252,Lipscomb,Lipscomb
3253,Long Beach St,Long Beach St
3254,LIU Brooklyn,LIU Brooklyn
3255,Longwood,Longwood
3256,Louisiana Tech,Louisiana Tech
3257,Louisville,Louisville
3258,Loy Marymount,Loy Marymount
3259,Loyola MD,Loyola MD
3260,Loyola-Chicago,Loyola-Chicago
3261,LSU,LSU
3262,MA Lowell,MA Lowell
3263,Maine,Maine
3264,Manhattan,Manhattan
3265,Marist,Marist
3266,Marquette,Marquette
3267,Marshall,Marshall
3268,Maryland,Maryland
3269,Massachusetts,Massachusetts
3270,McNeese St,McNeese St
3271,MD E Shore,MD E Shore
3272,Memphis,Memphis
3273,Mercer,Mercer
3274,Miami FL,Miami
3275,Miami OH,Miami OH
3276,Michigan,Michigan
3277,Michigan St,Michigan St.
3278,Minnesota,Minnesota
3279,Mississippi,Miss
3280,Mississippi St,Miss. State
3281,Missouri,Missouri
3282,Missouri KC,Missouri KC
3283,Missouri St,Missouri St.
3284,Monmouth NJ,Monmouth NJ
3285,Montana,Montana
3286,Montana St,Montana St
3287,Morehead St,Morehead St
3288,Morgan St,Morgan St
3289,Morris Brown,Morris Brown
3290,MS Valley St,MS Valley St
3291,Mt St Mary's,Mt St Mary's
3292,MTSU,MTSU
3293,Murray St,Murray St
3294,N Colorado,N Colorado
3295,N Dakota St,Dakota St.
3296,N Illinois,N Illinois
3297,N Kentucky,N Kentucky
3298,Navy,Navy
3299,NC A&T,NC A&T
3300,NC Central,NC Central
3301,NC State,NC State
3302,NE Illinois,NE Illinois
3303,NE Omaha,NE Omaha
3304,Nebraska,Nebraska
3305,Nevada,Nevada
3306,New Hampshire,New Hampshire
3307,New Mexico,New Mexico
3308,New Mexico St,NM State
3309,New Orleans,New Orleans
3310,Niagara,Niagara
3311,Nicholls St,Nicholls St
3312,NJIT,NJIT
3313,Norfolk St,Norfolk St
3314,North Carolina,UNC
3315,North Dakota,Dakota
3316,North Florida,North Florida
3317,North Texas,North Texas
3318,Northeastern,Northeastern
3319,Northern Arizona,Northern Arizona
3320,Northern Iowa,Northern Iowa
3321,Northwestern,Northwestern
3322,Northwestern LA,Northwestern LA
3323,Notre Dame,Notre Dame
3324,Oakland,Oakland
3325,Ohio,Ohio
3326,Ohio St,Ohio St
3327,Okla City,Okla City
3328,Oklahoma,Oklahoma
3329,Oklahoma St,Oklahoma St
3330,Old Dominion,Old Dominion
3331,Oral Roberts,Oral Roberts
3332,Oregon,Oregon
3333,Oregon St,Oregon St.
3334,Pacific,Pacific
3335,Penn,Penn
3336,Penn St,Penn St
3337,Pepperdine,Pepperdine
3338,Pittsburgh,Pittsburgh
3339,Portland,Portland
3340,Portland St,Portland St.
3341,Prairie View,Prairie View
3342,Presbyterian,Presbyterian
3343,Princeton,Princeton
3344,Providence,Providence
3345,Purdue,Purdue
3346,Quinnipiac,Quinnipiac
3347,Radford,Radford
3348,Rhode Island,Rhode Island
3349,Rice,Rice
3350,Richmond,Richmond
3351,Rider,Rider
3352,Robert Morris,Rob. Morris
3353,Rutgers,Rutgers
3354,S Carolina St,S Carolina St
3355,S Dakota St,S. Dakota St.
3356,S Illinois,S Illinois
3357,Sacred Heart,Sacred Heart
3358,Sam Houston St,Sam Houston St
3359,Samford,Samford
3360,San Diego,San Diego
3361,San Diego St,San Diego St
3362,San Francisco,San Francisco
3363,San Jose St,San Jose St
3364,UC Santa Barbara,UC Santa Barbara
3365,Santa Clara,Santa Clara
3366,Savannah St,Savannah St
3367,SC Upstate,SC Upstate
3368,SE Louisiana,SE Louisiana
3369,SE Missouri St,SE Missouri St
3370,Seattle,Seattle
3371,Seton Hall,Seton Hall
3372,SF Austin,SF Austin
3373,Siena,Siena
3374,SMU,SMU
3375,South Alabama,South Alabama
3376,South Carolina,S. Carolina
3377,South Dakota,South Dakota
3378,South Florida,South Florida
3379,Southern Miss,Southern Miss
3380,Southern Univ,Southern
3381,Southern Utah,Southern Utah
3382,St Bonaventure,St Bonaventure
3383,St Francis NY,St Francis NY
3384,St Francis PA,St Francis PA
3385,St John's,St John's
3386,St Joseph's PA,St Joseph's PA
3387,St Louis,St Louis
3388,St Mary's CA,St Mary's CA
3389,St Peter's,St Peter's
3390,Stanford,Stanford
3391,Stetson,Stetson
3392,Stony Brook,Stony Brook
3393,Syracuse,Syracuse
3394,TAM C. Christi,TAM C. Christi
3395,TCU,TCU
3396,Temple,Temple
3397,Tennessee,Tennessee
3398,Tennessee St,Tennessee St
3399,Tennessee Tech,Tennessee Tech
3400,Texas,Texas
3401,Texas A&M,Texas A&M
3402,Texas St,Texas St
3403,Texas Tech,Texas Tech
3404,TN Martin,TN Martin
3405,Toledo,Toledo
3406,Towson,Towson
3407,Troy,Troy
3408,Tulane,Tulane
3409,Tulsa,Tulsa
3410,UTRGV,UTRGV
3411,TX Southern,TX Southern
3412,UAB,UAB
3413,UC Davis,UC-Davis
3414,UC Irvine,UC Irvine
3415,UC Riverside,UC Riverside
3416,UCF,UCF
3417,UCLA,UCLA
3418,Louisiana,Louisiana
3419,ULM,ULM
3420,UMBC,UMBC
3421,UNC Asheville,UNC Asheville
3422,UNC Greensboro,UNC Greensboro
3423,UNC Wilmington,UNC Wilmington
3424,UNLV,UNLV
3425,USC,USC
3426,UT Arlington,UT Arlington
3427,UT San Antonio,UT San Antonio
3428,Utah,Utah
3429,Utah St,Utah St
3430,Utah Valley,Utah Valley
3431,UTEP,UTEP
3432,Utica,Utica
3433,VCU,VCU
3434,Valparaiso,Valparaiso
3435,Vanderbilt,Vanderbilt
3436,Vermont,Vermont
3437,Villanova,Villanova
3438,Virginia,Virginia
3439,Virginia Tech,Virginia Tech
3441,W Carolina,W Carolina
3442,W Illinois,W Illinois
3443,WKU,WKU
3444,W Michigan,W Michigan
3445,W Salem St,W Salem St
3446,W Texas A&M,W Texas A&M
3447,Wagner,Wagner
3448,Wake Forest,Wake Forest
3449,Washington,Washington
3450,Washington St,Washington St
3451,Weber St,Weber St
3452,West Virginia,West Virginia
3453,WI Green Bay,WI Green Bay
3454,WI Milwaukee,WI Milwaukee
3455,Wichita St,Wichita St
3456,William & Mary,William & Mary
3457,Winthrop,Winthrop
3458,Wisconsin,Wisconsin
3459,Wofford,Wofford
3460,Wright St,Wright State
3461,Wyoming,Wyoming
3462,Xavier,Xavier
3463,Yale,Yale
3464,Youngstown St,Youngstown St
3465,Cal Baptist,Cal Baptist
3466,North Alabama,North Alabama
3467,Merrimack,Merrimack
